stem,municipality,population,rung,class,contests,reason,page_prints_seats_the_arithmetic_denies
Rowley2016,Rowley,6161,review,a figure nobody could read,1,Board of Selectman: a figure was not readable,
Rowley2020,Rowley,6161,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Granby2006,Granby,6110,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Granby2008,Granby,6110,review,a figure nobody could read,13,COMMISSIONER OF TRUST FUNDS (3 Years)(Vote ONE): a figure was not readable,
Granby2012,Granby,6110,hold,impossible arithmetic,16,FOR COMMISSIONER OF TRUST FUNDS-VOTE ONE (3 YEARS): 694 marks exceeds 342x1=342 -- impossible,
Granby2014,Granby,6110,review,a figure nobody could read,14,FOR COMMISSIONER OF TRUST FUNDS-VOTE ONE: a figure was not readable,
Granby2015,Granby,6110,review,a figure nobody could read,11,SELECT BOARD - VOTE ONE: a figure was not readable,
Granby2018,Granby,6110,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Granby2020,Granby,6110,review,a figure nobody could read,7,BOARD OF SELECTMEN - VOTE ONE (3 YEARS): a figure was not readable,
Hopedale2016,Hopedale,6017,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hopedale2020,Hopedale,6017,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Dover2013,Dover,5923,review,a figure nobody could read,11,FOR DOVER SCHOOL COMMITTEE THREE Years Vote for TWO: a figure was not readable,
Dover2014,Dover,5923,review,a figure nobody could read,12,FOR TRUSTEES OF LARRABEE & WHITING ESTATE - FIVE Years: a figure was not readable,
Dover2015,Dover,5923,hold,impossible arithmetic,14,FOR LIBRARY TRUSTEE THREE Years: 420 marks exceeds 190x2=380 -- impossible,
Dover2017,Dover,5923,review,a figure nobody could read,13,FOR DOVER SCHOOL COMMITTEE THREE Years: a figure was not readable,
Lee2000,Lee,5788,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Lee2003,Lee,5788,review,seat count nobody could establish,10,TOWN REPRESENTATIVES District I: seat count left null by the transcriber,
Lee2004,Lee,5788,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Lee2018,Lee,5788,review,seat count nobody could establish,15,District 2 Rep (3yrs): seats inferred as 3 but the totals imply 1,
Bolton2007,Bolton,5665,review,other,1,only one contest -- a return usually elects several,
Bolton2017,Bolton,5665,review,a figure nobody could read,12,Park and Recreation Commission: a figure was not readable,
Bolton2018,Bolton,5665,review,no date could be derived,13,Parks and Recreation: no candidates,
Bolton2020,Bolton,5665,review,a figure nobody could read,10,Moderator: a figure was not readable,
Boxborough2002,Boxborough,5506,hold,impossible arithmetic,7,"Selectmen, Three Years: 1345 marks exceeds 672x2=1344 -- impossible",
Boxborough2008,Boxborough,5506,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Boxborough2010,Boxborough,5506,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Boxborough2014,Boxborough,5506,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Boxborough2015,Boxborough,5506,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Manchester2006,Manchester,5395,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Manchester2011,Manchester,5395,hold,impossible arithmetic,8,Planning Board for three years (2): 3290 marks exceeds 1641x2=3282 -- impossible,
Carlisle2015,Carlisle,5237,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Carlisle2017,Carlisle,5237,hold,impossible arithmetic,9,PLANNING BOARD 2 FOR 3 YEARS: 1243 marks exceeds 617x2=1234 -- impossible,
Carlisle2018,Carlisle,5237,review,seat count nobody could establish,9,SCHOOL COMMITTEE: seats inferred as 2 but the totals imply 1,
Deerfield2014,Deerfield,5090,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Paxton2001,Paxton,5004,review,a figure nobody could read,13,Selectboard: a figure was not readable,
Paxton2002,Paxton,5004,review,a figure nobody could read,22,Moderator: a figure was not readable,
Paxton2007,Paxton,5004,review,a figure nobody could read,12,Selectboard: a figure was not readable,
Paxton2019,Paxton,5004,hold,impossible arithmetic,14,RECREATION COMMISSION 3 Years: 495 marks exceeds 472x1=472 -- impossible,
Paxton2020,Paxton,5004,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Tisbury2020,Tisbury,4815,hold,impossible arithmetic,13,TOWN CLERK (1 for 3 yrs): 858 marks exceeds 856x1=856 -- impossible,marks are exactly 3x ballots but the page is quoted as printing 1 seats: '(1 for 3yrs)'; marks are exactly 3x ballots but the page is quoted as printing 1 seats: '1 for 3yrs'
Avon2010,Avon,4777,hold,impossible arithmetic,9,SCHOOL COMMITTEE: 2 years vote for one: 144 marks exceeds 122x1=122 -- impossible,
Avon2011,Avon,4777,review,a figure nobody could read,9,HOUSING AUTHORITY:: a figure was not readable,
Avon2013,Avon,4777,hold,locator: no contest in the cut,0,the parse found no contest in this section,
NorthBrookfield2008,NorthBrookfield,4735,hold,impossible arithmetic,12,SCHOOL COMMITTEE FOR 3 YEARS: 1108 marks exceeds 554x1=554 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'SCHOOL COMMITTEE FOR 3 YEARS'
NorthBrookfield2010,NorthBrookfield,4735,review,seat count nobody could establish,14,PLAYGROUND COMMITTEE FOR 3 YEARS: seats inferred as 2 but the totals imply 1,
WestNewbury2012,WestNewbury,4500,hold,locator: no contest in the cut,0,the parse found no contest in this section,
WestNewbury2013,WestNewbury,4500,review,seat count nobody could establish,9,SELECTMAN: seat count left null by the transcriber,
WestNewbury2015,WestNewbury,4500,review,seat count nobody could establish,11,CONSTABLE: seat count left null by the transcriber,
WestNewbury2016,WestNewbury,4500,review,seat count nobody could establish,11,SCHOOL COMMITTEE (For Three Years): seats inferred as 2 but the totals imply 1,
WestBrookfield2007,WestBrookfield,3833,review,a figure nobody could read,15,COMMON COMMITTEE 3 YEARS VOTE FOR ONE: a figure was not readable,
WestBrookfield2009,WestBrookfield,3833,hold,impossible arithmetic,9,LIBRARY TRUSTEE 3 YEARS VOTE FOR ONE: 340 marks exceeds 170x1=170 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'VOTE FOR ONE'; marks are exactly 4x ballots but the page is quoted as printing 2 seats: 'The two candidates with the highest vote total
WestBrookfield2012,WestBrookfield,3833,hold,impossible arithmetic,13,LIBRARY TRUSTEE (3-YEARS): 246 marks exceeds 124x1=124 -- impossible,
WestBrookfield2014,WestBrookfield,3833,hold,impossible arithmetic,15,LIBRARY TRUSTEE 3 YEARS VOTE FOR TWO: 1569 marks exceeds 523x2=1046 -- impossible,marks are exactly 3x ballots but the page is quoted as printing 2 seats: '3 YEARS VOTE FOR TWO'
Essex2020,Essex,3675,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Provincetown2010,Provincetown,3664,review,no date could be derived,7,no election date could be derived,
Provincetown2011,Provincetown,3664,review,no date could be derived,8,no election date could be derived,
Provincetown2015,Provincetown,3664,review,no date could be derived,10,no election date could be derived,
Provincetown2016,Provincetown,3664,hold,impossible arithmetic,7,Bd Library Trustees (2 yr): 2080 marks exceeds 1040x1=1040 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Bd Library Trustees (2 yr)'
Provincetown2017,Provincetown,3664,hold,impossible arithmetic,7,Charter Enforcement (3 yr): 1580 marks exceeds 790x1=790 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Charter Enforcement (3 yr)'; marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Charter Enforcement (1 yr)'
Provincetown2018,Provincetown,3664,hold,impossible arithmetic,11,Charter Enforcement (3 yr): 2094 marks exceeds 1047x1=1047 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Charter Enforcement (3 yr)'
Provincetown2019,Provincetown,3664,review,seat count nobody could establish,6,Charter Compliance (3 yrs.): seat count left null by the transcriber,
Sunderland2013,Sunderland,3663,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sunderland2015,Sunderland,3663,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sunderland2017,Sunderland,3663,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sunderland2018,Sunderland,3663,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wellfleet2014,Wellfleet,3566,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wellfleet2016,Wellfleet,3566,hold,locator: no contest in the cut,0,the parse found no contest in this section,
WestTisbury2005,WestTisbury,3555,review,seat count nobody could establish,15,Land Bank Commissioner: seat count left null by the transcriber,
WestTisbury2008,WestTisbury,3555,review,a figure nobody could read,14,MODERATOR: a figure was not readable,
WestTisbury2009,WestTisbury,3555,hold,impossible arithmetic,13,PLANNING BOARD: 569 marks exceeds 566x1=566 -- impossible,
WestTisbury2019,WestTisbury,3555,hold,impossible arithmetic,11,SELECTMAN: 267 marks exceeds 264x1=264 -- impossible,
Princeton2004,Princeton,3495,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Princeton2005,Princeton,3495,hold,impossible arithmetic,9,SELECTMAN – 3 years: 707 marks exceeds 640x1=640 -- impossible,
Princeton2011,Princeton,3495,review,seat count nobody could establish,7,TRUSTEES OF TRUST FUNDS – 3 Years: seat count left null by the transcriber,
Brookfield2005,Brookfield,3439,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Brookfield2010,Brookfield,3439,review,a figure nobody could read,15,HOUSING AUTHORITY 5YRS VOTE FOR ONE: a figure was not readable,
Brookfield2012,Brookfield,3439,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Brookfield2013,Brookfield,3439,hold,impossible arithmetic,16,Housing Authority-3 Years: 1019 marks exceeds 1015x1=1015 -- impossible,
Brookfield2014,Brookfield,3439,hold,impossible arithmetic,15,Housing Authority-3 Years: 1485 marks exceeds 664x1=664 -- impossible,
Brookfield2015,Brookfield,3439,hold,impossible arithmetic,14,Planning Board-5 Years: 495 marks exceeds 465x1=465 -- impossible,
Brookfield2016,Brookfield,3439,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Brookfield2017,Brookfield,3439,hold,impossible arithmetic,11,Board of Assessors- 3 Years: 493 marks exceeds 459x1=459 -- impossible,
Brookfield2018,Brookfield,3439,review,seat count nobody could establish,12,Tantasqua School Committee: seat count left null by the transcriber,
Brookfield2019,Brookfield,3439,hold,impossible arithmetic,14,Public Library Trustee-3 Years-Vote for Two: 425 marks exceeds 190x2=380 -- impossible,
Dunstable2004,Dunstable,3358,hold,impossible arithmetic,20,SELECTMAN [1]: 971 marks exceeds 811x1=811 -- impossible,
Dunstable2005,Dunstable,3358,hold,impossible arithmetic,19,SELECTMAN [1]: 287 marks exceeds 239x1=239 -- impossible,
Dunstable2015,Dunstable,3358,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Nahant2002,Nahant,3334,hold,impossible arithmetic,10,Moderator: 1215 marks exceeds 1212x1=1212 -- impossible,
Nahant2008,Nahant,3334,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Nahant2009,Nahant,3334,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Nahant2012,Nahant,3334,review,a figure nobody could read,10,Planning Board (for five years): a figure was not readable,
Nahant2014,Nahant,3334,review,no date could be derived,8,Assessor (For An Unexpired Term of Two Years): no candidates,
Nahant2016,Nahant,3334,hold,impossible arithmetic,10,"Planning Board, (for five years): 2154 marks exceeds 1077x1=1077 -- impossible",marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'for five years'
Nahant2019,Nahant,3334,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sheffield2011,Sheffield,3327,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sheffield2017,Sheffield,3327,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Cheshire2017,Cheshire,3258,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Cheshire2018,Cheshire,3258,hold,impossible arithmetic,11,ACRSD School Committee: Member from Cheshire (all write-ins): 514 marks exceeds 502x1=502 -- impossible,
Ashby2016,Ashby,3193,review,a figure nobody could read,13,"SELECTMAN, Three Years: a figure was not readable",
Millville2018,Millville,3174,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Berlin2001,Berlin,3158,review,no date could be derived,11,no election date could be derived,
Lanesborough2013,Lanesborough,3038,review,a figure nobody could read,12,BOARD OF SELECTMEN 3 YRS: a figure was not readable,
Lanesborough2017,Lanesborough,3038,review,seat count nobody could establish,9,PLANNING BOARD: seat count left null by the transcriber,
Lanesborough2020,Lanesborough,3038,review,seat count nobody could establish,6,PLANNING BOARD: seat count left null by the transcriber,
Plympton2004,Plympton,2930,hold,impossible arithmetic,11,"Library Trustee, for two years: 728 marks exceeds 187x1=187 -- impossible",
Plympton2007,Plympton,2930,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Plympton2018,Plympton,2930,hold,impossible arithmetic,13,"BOARD OF HEALTH, 3 Years Vote One: 137 marks exceeds 135x1=135 -- impossible",
Northfield2009,Northfield,2866,review,a figure nobody could read,12,Town Clerk Three year term Vote for One: a figure was not readable,
Northfield2016,Northfield,2866,hold,impossible arithmetic,10,Constables Three year term Vote for One: 1076 marks exceeds 269x1=269 -- impossible,marks are exactly 4x ballots but the page is quoted as printing 1 seats: 'Vote for One'
Northfield2018,Northfield,2866,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Williamsburg2017,Williamsburg,2504,hold,impossible arithmetic,13,Board of Health – 3 years – vote for 1: 350 marks exceeds 348x1=348 -- impossible,
Truro2017,Truro,2454,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Truro2019,Truro,2454,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Huntington2007,Huntington,2094,hold,impossible arithmetic,15,WHITING STREET TRUSTEE: 88 marks exceeds 86x1=86 -- impossible,
Huntington2008,Huntington,2094,review,seat count nobody could establish,14,REGIONAL SCHOOL COMMITTEE: seat count left null by the transcriber,
Huntington2011,Huntington,2094,review,other,15,BOARD OF SELECTMEN - 3 Yrs.: name looks like an address -- '16 Others',
Stockbridge2020,Stockbridge,2018,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hinsdale2001,Hinsdale,1919,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hinsdale2002,Hinsdale,1919,review,no date could be derived,10,Member–Select Board: no candidates,
Hinsdale2003,Hinsdale,1919,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hinsdale2004,Hinsdale,1919,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hinsdale2005,Hinsdale,1919,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hinsdale2007,Hinsdale,1919,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hinsdale2010,Hinsdale,1919,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hinsdale2020,Hinsdale,1919,review,no date could be derived,5,Select Board: no candidates,
Oakham2021,Oakham,1851,review,a figure nobody could read,12,"Selectmen, 3 Years: a figure was not readable",
Wales2002,Wales,1832,review,a figure nobody could read,12,BOARD OF SELECTMEN: a figure was not readable,
Wales2003,Wales,1832,review,a figure nobody could read,14,BOARD OF SELECTMEN 3 YR. TERM VOTE FOR ONE: a figure was not readable,
Wales2004,Wales,1832,review,a figure nobody could read,14,BOARD OF SELECTMEN (3 YR TERM) VOTE FOR ONE: a figure was not readable,
Wales2005,Wales,1832,review,a figure nobody could read,13,BOARD OF SELECTMEN 3 YR TERM VOTE FOR ONE: a figure was not readable,
Wales2006,Wales,1832,review,a figure nobody could read,16,BOARD OF SELECTMEN 3 YR TERM VOTE FOR ONE: a figure was not readable,
Wales2007,Wales,1832,review,a figure nobody could read,12,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable,
Wales2009,Wales,1832,review,a figure nobody could read,14,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable,
Wales2010,Wales,1832,review,a figure nobody could read,11,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable,
Wales2011,Wales,1832,review,a figure nobody could read,13,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable,
Wales2013,Wales,1832,review,a figure nobody could read,12,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable,
Wales2014,Wales,1832,review,a figure nobody could read,9,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable,
Wales2015,Wales,1832,review,a figure nobody could read,14,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable,
Wales2016,Wales,1832,review,a figure nobody could read,10,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable,
Wales2017,Wales,1832,review,a figure nobody could read,9,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable,
Wales2018,Wales,1832,review,a figure nobody could read,14,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable,
Wales2019,Wales,1832,review,a figure nobody could read,10,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable,
Wales2020,Wales,1832,review,a figure nobody could read,8,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable,
Buckland2019,Buckland,1816,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Shutesbury2012,Shutesbury,1717,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Shutesbury2020,Shutesbury,1717,review,a figure nobody could read,7,Board of Health: a figure was not readable,
Ashfield2010,Ashfield,1695,review,no date could be derived,18,no election date could be derived,
Ashfield2013,Ashfield,1695,review,a figure nobody could read,15,Sewer Commission: a figure was not readable,
Ashfield2016,Ashfield,1695,review,a figure nobody could read,12,Moderator: a figure was not readable,
Ashfield2017,Ashfield,1695,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Erving2015,Erving,1665,hold,impossible arithmetic,14,School Committee – 2 Years: 258 marks exceeds 254x1=254 -- impossible,
Erving2017,Erving,1665,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Otis2020,Otis,1634,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Otis2021,Otis,1634,review,seat count nobody could establish,10,SELECTPERSON: seats inferred as 2 but the totals imply 1,
Gill2005,Gill,1551,hold,impossible arithmetic,8,SELECTBOARD: 84 marks exceeds 67x1=67 -- impossible,
Gill2008,Gill,1551,hold,impossible arithmetic,8,Cemetery Commissioner: 53 marks exceeds 50x1=50 -- impossible,
Granville2008,Granville,1538,review,a figure nobody could read,10,One Moderator for 1 year: a figure was not readable,
Granville2009,Granville,1538,hold,impossible arithmetic,11,Two for School Committee for 3 years: 672 marks exceeds 284x2=568 -- impossible,
Granville2011,Granville,1538,review,a figure nobody could read,11,One Moderator for 1 year: a figure was not readable,
Granville2020,Granville,1538,review,a figure nobody could read,9,One Moderator for 1 year: a figure was not readable,
NewMarlborough2014,NewMarlborough,1528,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Richmond2012,Richmond,1407,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Richmond2016,Richmond,1407,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Richmond2020,Richmond,1407,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Pelham2020,Pelham,1280,review,a figure nobody could read,11,School Committee (One for Two Years): a figure was not readable,
Royalston2014,Royalston,1250,review,a figure nobody could read,4,SELECTMAN - 3 YEARS: a figure was not readable,
Royalston2015,Royalston,1250,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Royalston2016,Royalston,1250,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Royalston2017,Royalston,1250,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Chester2017,Chester,1228,review,seat count nobody could establish,8,Board of Selectmen: seat count left null by the transcriber,
Blandford2002,Blandford,1215,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Blandford2004,Blandford,1215,review,a figure nobody could read,20,Assessor for Three Years: a figure was not readable,
Blandford2005,Blandford,1215,hold,impossible arithmetic,16,Cemetery Commissioner for Three Years Vote for One: 234 marks exceeds 232x1=232 -- impossible,
Blandford2009,Blandford,1215,review,no date could be derived,14,Cemetery Commissioner for Three Years Vote for One: no candidates,
Blandford2010,Blandford,1215,review,a figure nobody could read,17,Planning Board for Three Years Vote for One: a figure was not readable,
Blandford2011,Blandford,1215,review,other,12,no two contests agree on a ballot count,
Blandford2012,Blandford,1215,review,a figure nobody could read,12,Board of Health for Three Years Vote for One: a figure was not readable,
Blandford2013,Blandford,1215,review,a figure nobody could read,17,Assessor for Three Years Vote for One: a figure was not readable,
Blandford2014,Blandford,1215,review,a figure nobody could read,12,Assessor for Three Years Vote for One: a figure was not readable,
Blandford2016,Blandford,1215,review,a figure nobody could read,12,Assessor for Three Years Vote for One: a figure was not readable,
Blandford2017,Blandford,1215,review,a figure nobody could read,12,Vote for one: a figure was not readable,
Blandford2018,Blandford,1215,review,a figure nobody could read,14,Assessor for three years: a figure was not readable,
Petersham2006,Petersham,1194,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Petersham2007,Petersham,1194,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Petersham2008,Petersham,1194,hold,impossible arithmetic,10,BOARD OF SELECTMEN - 3 YEARS: 170 marks exceeds 124x1=124 -- impossible,
Petersham2009,Petersham,1194,review,seat count nobody could establish,7,Trustees of Public Library – 3 years: seat count left null by the transcriber,
Petersham2012,Petersham,1194,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Petersham2013,Petersham,1194,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Petersham2014,Petersham,1194,hold,impossible arithmetic,8,BOARD OF SELECTMEN - 3 YEARS: 374 marks exceeds 331x1=331 -- impossible,
Petersham2015,Petersham,1194,review,a figure nobody could read,8,CONSTABLE VOTE FOR 3 - 3 YEARS: a figure was not readable,
Petersham2016,Petersham,1194,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Petersham2017,Petersham,1194,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Petersham2018,Petersham,1194,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Petersham2019,Petersham,1194,review,no date could be derived,11,no election date could be derived,
Petersham2021,Petersham,1194,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Chesterfield2018,Chesterfield,1186,review,seat count nobody could establish,13,SCH COMM/CHESTERFIELD-GOSHEN (1 year): seat count left null by the transcriber,
Charlemont2018,Charlemont,1185,review,seat count nobody could establish,13,Mohawk School Comm years: seat count left null by the transcriber,
Charlemont2020,Charlemont,1185,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sandisfield2018,Sandisfield,989,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Cummington2011,Cummington,829,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Cummington2012,Cummington,829,review,a figure nobody could read,14,Selectperson for three years: a figure was not readable,
Cummington2013,Cummington,829,review,a figure nobody could read,14,Selectperson for three years: a figure was not readable,
Cummington2014,Cummington,829,review,a figure nobody could read,15,Selectman for three years: a figure was not readable,
Cummington2016,Cummington,829,review,a figure nobody could read,17,Selectman for three years: a figure was not readable,
Cummington2017,Cummington,829,review,a figure nobody could read,16,Selectman for three years: a figure was not readable,
Cummington2018,Cummington,829,hold,impossible arithmetic,20,Selectman for three years: 181 marks exceeds 150x1=150 -- impossible,
Cummington2019,Cummington,829,hold,impossible arithmetic,19,Selectman for one year: 191 marks exceeds 168x1=168 -- impossible,
Cummington2020,Cummington,829,hold,impossible arithmetic,20,Selectman for three years: 228 marks exceeds 222x1=222 -- impossible,
Peru2017,Peru,814,hold,impossible arithmetic,7,Finance Committee 5-year term: 191 marks exceeds 190x1=190 -- impossible,
Plainfield2013,Plainfield,633,hold,impossible arithmetic,11,Board of Assessors: (1 Year): 90 marks exceeds 89x1=89 -- impossible,
Plainfield2016,Plainfield,633,hold,impossible arithmetic,15,Board of Selectman: 111 marks exceeds 95x1=95 -- impossible,
Washington2020,Washington,494,review,seat count nobody could establish,5,SELECTBOARD (3 year term): seats inferred as 3 but the totals imply 1,
Tyringham2019,Tyringham,427,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Rowe2002,Rowe,424,hold,impossible arithmetic,15,SELECTMAN/BOARD OF HEALTH 3 YRS: 188 marks exceeds 142x1=142 -- impossible,
Rowe2004,Rowe,424,hold,impossible arithmetic,14,FINANCE COMMITTEE (3 YEARS): 211 marks exceeds 207x1=207 -- impossible,
Rowe2012,Rowe,424,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Rowe2019,Rowe,424,review,seat count nobody could establish,13,FINANCE COMMITTEE (2 YEARS): seat count left null by the transcriber,
Rowe2020,Rowe,424,review,a figure nobody could read,15,Warden: a figure was not readable,
Middlefield2012,Middlefield,385,review,a figure nobody could read,12,Moderator: a figure was not readable,
Hawley2013,Hawley,353,review,a figure nobody could read,7,Selectman (3 years): a figure was not readable,
Hawley2014,Hawley,353,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hawley2015,Hawley,353,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hawley2016,Hawley,353,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hawley2020,Hawley,353,hold,locator: no contest in the cut,0,the parse found no contest in this section,
NewAshford2017,NewAshford,250,hold,impossible arithmetic,8,Tree Warden- 1 Year: 40 marks exceeds 39x1=39 -- impossible,
NewAshford2019,NewAshford,250,hold,impossible arithmetic,8,Fire Warden- 1 year: 38 marks exceeds 36x1=36 -- impossible,
NewAshford2020,NewAshford,250,hold,locator: no contest in the cut,0,the parse found no contest in this section,
MountWashington2001,MountWashington,160,hold,locator: no contest in the cut,0,the parse found no contest in this section,
MountWashington2009,MountWashington,160,hold,locator: no contest in the cut,0,the parse found no contest in this section,
MountWashington2019,MountWashington,160,review,seat count nobody could establish,9,Selectboard: seat count left null by the transcriber,
